,0
46,"Responsibilities: Lead workshops and innovation sessions with clients, multi-disciplinary, and cross-functional teams to identify business opportunities and artificial intelligence solutions; utilize processes and best practices to plan, lead and execute delivery of artificial intelligence engagements across different areas (risk management, financial services, mergers and acquisitions, and public policy)Lead in a fast-paced and dynamic environment utilizing virtual and face-to-face interactions; manage complex work streams, expectations, budgets, deliverables, risks, and multiple responsibilities using structured approaches for operational excellence; Communicate results to executive level audiencesWork with clients to discover data sources, and create data requests; Lead the ETL process to ingest structured data and annotation processes to enrich unstructured data leveraging a variety of data sources (social media, news, internal/external documents, images, video, voice, emails, financial data, and operational data)Utilize a variety of tools and approaches to solve complex business objectives, from Statistical Natural Language Processing, Information Retrieval/Extraction, Machine Learning/ Deep Learning, Image Processing, Rules Engines, Knowledge Graphs, and Semantic SearchPlan and manage engagement objectives and key deliverables using analytics processes to mitigate risks in data, modeling, validation, and deliveryRefactor, deploy, and validate models; work with clients iteratively to validate performance metrics, and sample output to drive towards a business-first solution utilizing APIs, platforms, containers, multi-threading, and distributed processing to achieve throughput goalsQualifications:Minimum of 5 years of experience leading teams of at least five data scientists, engineers, and other data & analytics professionals, including business development, requirements gathering, people development, and quality management using analytics and software development processes for natural language processing, machine learning on unstructured data, and/or information retrieval; Multidisciplinary backgroundsMaster’s degree from an accredited college/university in Computer Science, Engineering, or related fields; Ph.D. from an accredited college/university is preferredAbility to work with the business to understand business goals and create an artificial intelligence solution and an accompanying business case that meets the business objectives and business constraints. Expertise in delivering analytics projects using leading processes including expert knowledge of data discovery, cleaning, model selection, validation, and deploymentUnderstanding of data preparation, machine learning, deep learning, natural language processing; ability to discuss mathematical formulations, alternatives, and impact on modeling approach; Knowledge of development practices (testing, code design, complexity, and code optimization)Fluency in Python; Proficiency in AI-related frameworks (NLTK, Spacy, Scikit-Learn, Tensorflow); and experience with platforms such as Google Cloud, Azure, and AWS; Ability to pick up new languages and technologies quickly; Ability to work efficiently under Unix/Linux environment with experience with source code management systems like GIT; Ability to work with a variety of databases (SQL, ElasticSearch, Solr, Neo4j)Ability to travel up to eighty percent of the time; Applicants must be currently authorized to work in the United States without the need for visa sponsorship now or in the futureTraining: 3 months of trainingProbation: 3 months and 12 months for employment dateLocation: LagosExperience: None required but must be matured, professional always and love using computer all-dayWorkdays: Monday to Friday only, No work on Saturday and SundayWork time: 10 am to 8 pmBreak: 1-hour compulsory break for everyoneEnvironment: Fast paceEnvironment: Collaborative but competitiveRequired Skill: Fast typingRequired Skill: Flexible to changeRequired Skill: Love using and working computers and modern technology all-dayRequired Skill: Can work alone on projects and independentRequired Skill: Provide daily, weekly, monthly and quarterly reportsRequired Skill: On-time to workRequired Skill: On-time to meetingsRequired Skill: Like daily technology trainingRequired Skill: Good in mathematicsRequired Skill: Good in EnglishRequired Skill: Good in writingRequired Skill: Organized and good at time-managementRequired Skill: Knows how to work with emailsRequired Skill: Knows how to search on Google or other search enginesRequired Skill: PowerPoint presentationRequired Skill: Microsoft wordRequired Skill: Microsoft excelRequired Skill: Great communicatorRequired Skill: Listens and follow instruction from managerRequired Skill: Not argumentativeJob Types: Full-time, Commission, New-Grad, PermanentSalary: ₦70,000.00 - ₦402,000.00 per monthCOVID-19 considerations:COVID-19:To keep everyone safe. You must come with a facemask. Make sure your facemask covers above your nose and below your jor. Wash your hands at the entrance. Maintain Social distancing at all times. You will not be allowed in if you don't.Experience:Natural Language Processing Analyst: 1 year (Required)Education:Master's (Required)Licence:NYSC (Required)Work Remotely:No"
47,"JOB SUMMARY The job scope of the Growth Analyst will primarily entail driving growth and engagement in alignment with the Enterprise Innovation Framework of the Exchange. The prospective candidate is expected to possess cross-functional skills and capabilities that will enable him or her work closely with relevant teams such as Marketing, Sales, Engineering (Frontend especially) and product management. S/he is expected to have a good grasp and knowledge of the Nigerian Financial & Capital Market Ecosystem. From a Growth perspective, the candidate should be a self-starter with pedigree in bootstrapping businesses or solutions from ideas to execution and to operation. KEY RESPONSIBILITIES Conversion especially on digital channels. Grow digital products through smart hacks and deep partnerships, with minimal emphasis on budgets only Effective use of tools like Optimize and/or other mainstream A/B testing tools to achieve quality results Utilise big data to analyse and understand data (including user feedback) and turning the data into actionable insights that shrink costs and raise user numbers Improve user experience through extensive knowledge of product marketing or UX (or both) Choose, in alignment with the Enterprise Innovation Framework, which metrics/KPIs (Key Performance Indicators) to focus on. Bring traditional and creative ideas into how to achieve those KPIs. Analyzing data and users feedback. Exchange ideas/data/feedback with other departments (Product, marketing, top management) in order to present results and make the product more user-centric. Drive traffic to the organisations website, landing pages, social media handles and apps Understand conversion rate optimisation (CRO) principles and hacks and apply CRO hacks to any businesses. Work on a lean startup process. Work with the AARRR Sales Metrics Diagram (Acquisition Activation Retention Referral - Revenue) Prioritise growth channels. Optimise channels in order to always improve the performance of business. Scale and automate the growth processes. Be knowledgeable about referral marketing and beable to create viral growth Stay current on industry and technology trends FinTech and Capital Market Technology Demonstrate knowledge of a range of financial/capital market products and asset types including: Equities, Fixed Income, ETFs, and Derivatives FUNCTIONAL COMPETENCIES Analytical Thinking Business Acumen Leveraging Technology Presentation BEHAVIOURAL COMPETENCIES Attention to Detail Planning and Organizing QUALIFICATIONS AND EXPERIENCE Bachelor's degree in Computer Science, Information Systems, Economics, Data Science or a related field Certification in Digital Marketing is an added advantage Minimum of 3 years relevant experience in Digital Marketing and Growth Hacking."
48,"Collect data on consumers, competitors and market place and consolidateinformation into actionable items, reports and presentations."
49,"JERAG Technologies is into operating technology management consultancy. We have high technological competence in performing digital transformation at all area of business, JERAG should be able to adapt every business model of clients to their operational processes so as to give them that competitive edges over their competitors.We are recruiting to fill the position below:Job Position: Business AnalystJob Location: Lagos Island, LagosEmployment Type: Full TimeJob DescriptionOur organization is looking to employ a detailed-oriented and insightful business analystThe successful candidate will be working with the management team and our internal department as they collect as well as review information gathered to use to find solutions that can optimize processes in the organization.ResponsibilitiesCollect and analyze raw data to be able to identify patterns, trends, anomalies and other information that are helpful.Using data to develop and optimize strategies and processes, increase profits, efficiency, quality, or security, and reduce costs.Working with internal departments to collect data,develop and implement strategies.See to Identifying and validating new data sources.Creating reports and presentations to summarize findings and influence company decisions.Working with the management team to establish project objectives, budgets, and timelines, monitor progress, and evaluate performance.Implementing policies and procedures that keep company data and information secure as it is collected, analyzed, stored, and discarded.Reviewing and improving analytics processes, methods, and tools to increase efficiency, accuracy, and security.RequirementsFirst Degree in Computer Science and related disciplines.Master's Degree and professional qualifications will be added advantages.Experience: 0 - 3 yearsConsiderable year of experience a plus.Proficiency with computer systems such as MS Office, Project, analytics software and certain programming languages.Develop business strategies by making use of trends and patterns in large numerical information and data sets.Very good organization skill, should be able to thinking critically and be able to solve problems.Good presentation, verbal and written communication skillsVery good at summarizing and explaining complex information to other.SalaryN75,000 - N100,000 monthly.Method of ApplicationInterested and qualified candidates should send their Applications and CV / Resume to: jeragtechnology@gmail.com using the Job Title as the subject of the email.Note: We shall only contact shortlisted candidates."
50,"ATPD001 - You appear to be a bot, and we have restricted acccess to Profdir.com . If you believe this is an error please contact us through the contact form. If you find this message outside the Profdir network please visit profdir.com to find the info you requested. ip:169.47.24.174"
51,"Job Description Assist In The Development, Implementation And Measurement Of Various Below The Line Campaign Programmes That Focus On Customer Retention And Customer Life-Cycle Management Leverage The Outbound And Inbound Channels For Campaign Execution Aimed At Reducing Churn And Increasing Customers Spend Develop And Execute Micro-Segmented Marketing Campaigns To Generate Incremental Revenue And Reduce Dormancy On The Network Identify Opportunities Within The Base For Revenue Optimization And Campaign Management With The Aim Of Developing Relevant Programmes To Address These Opportunities Monitor And Track Campaign Performance Over Campaign Lifecycle And Ensure Right Decisions Are Taken Regarding Continuing Or Discontinuing Campaigns Design And Execute Pilot Campaigns To Determine Best Approach To Campaign Deployment, Offer Development And Campaign Scripting Before Scale-Up Utilize Both Inbound And Outbound Campaign Management Platforms For The Purpose Of Campaign Execution, Deployment And Evaluation Ensure No Revenue Dilution As A Result Of Campaign Activities Provide Support To Campaign Segmentation Analyst As Required. Responsible For Developing And Executing Below The Line Campaigns With The Aim Of Generating Incremental Revenue And Reducing Churn On The Network Manage The Implementation, Tracking And Measurement Of Marketing Campaigns Write, Edit And Proofread Campaign Scripts To Ensure The Best And Effective Marketing Communication Is Achieved To Drive Campaign Uptake And Improved Campaign Success Rate Regularly Monitor And Measure ROI Of Campaigns And Take Key Decisions Regarding Continuity Or Modification Of Campaigns. Collect And Use Data To Inform New Campaigns And The Evaluation Of Existing Campaigns Analyse Outbound And Inbound Campaign Results And Propose Recommendations To The Business Based On Campaign Performance And Evaluation Execution Of Overall Customer Base Strategy To Include But Not Limited To Acquisition Quality, Welcome Engagement Campaign, Upgrade And Cross Sell Strategy, Base Migrations And Retention Strategy Analysis Of The Customer Base To Identify Segments That Have Revenue Upliftment Opportunity Or Who Are A Churn Risk That Require An Intervention Take Ownership Of The Go To Market Process, Ensuring All Processes And Customer Journeys Are Designed And Followed Design Monthly Campaign Calendar And Campaign Plan For Execution Ensuring Timelines Are Met And Targeting Is In Line With Strategy Perform Customer Lifecycle Management Activities That Translate Into Elongated Customer Life Cycle. Demonstrate Broad Understanding Of Big Data End-To-End Ecosystem And Dependencies To Identify Trends In Customer Dynamics Interface With Segment Managers To Understand Their Campaign Needs In Supporting Product Development And Performance Throughout Their Product Lifecycle Liaise With Vendors Responsible For Managing Systems/Tools/Capabilities Within CVM For Campaign Management And Analytical Needs Contribute And Participate In Campaign Idea Generation Meetings And Cross Functional Customer Lifecycle Management Meeting As Required. Continuously Seek Self-Professional Development To Sharpen Skills And Capabilities In A Versatile And Evolving Digital Landscape. Foster Active Collaboration And Relationships With Employees Across All Levels And Divisions In Line With MTNs VB And Values Job Condition Normal MTNN Working Conditions May Be Required To Work Extended Hours Open Plan Office Experience & Training Education: First Degree In Any Related Discipline Fluent In English Experience: Minimum Of 3 Years Experience In An Area Of Specialisation; With Experience Working With Others In A Medium Sized Organization Experience In Database/Direct Marketing Or Product Management In Telecommunications Industry Experience In Developing Test Design, Significance Testing, Establishing Error Ranges, And Key Success Metrics. Expertise In Experimental Test Design Experience With Major Campaign Management Platform(S) Within Telecoms Industry Demonstrable Data-Mining, Analytical Skills And Segmentation Techniques Good Understanding Of Customer Data Analysis, Propensity Modelling And Segmentation Techniques; Excellent Understanding Of Data Manipulation And Interrogation Techniques Minimum Qualification: BA, BEd, BSc Or HND"
52,"BitPesa Nigeria is recruiting for fulltime Treasury Middle Office Analyst. JOB DETAILS We are recruiting to fill the position below: Job Title: Treasury Middle Office Analyst Location:Lagos Job Summary The candidate will be responsible for reporting on treasury positions, results, instruments, products, activities, systems and procedures. You will support the Treasury back office and Trading team. The Treasury operations cover multiple time zones and locations such as Tanzania, Uganda, Kenya, Senegal, Ghana, Nigeria, along with counterparties in Europe and the US. Key Responsibilities Risk, Governance and Control: Perform daily open position reconciliation and ensure that Treasury performance is tracked and reported accurately. Assist in the preparation of float, exposure and liquidity reports. Assist in processing counterparty limit requests on behalf of front office. Ensure Compliance with Standard Operations Procedure(SOP), Treasury policies and audit requirements. Keep abreast of local market developments which could have direct bearing on change to Procedures/reporting requirements. Ensure critical controls relating to market risk management is being observed and assist in raising appropriate awareness in Treasury Front and Back-Office. Systems maintenance and development: Participate in any systems implementation in the Middle-Office Participate in training initiatives to ensure Front-Office/Middle-Office/Back-Office staff receive adequate training on Treasury risk systems. Assist in development/design of reports to provide appropriate information which identifies the risk Positions and profit and loss profile of Treasury. Administrative support: Maintenance of records/documentation of Treasury Middle Office reports. Responsible for importing reports from Treasury Express. Assist in providing required documentation for audits. Assist in providing necessary documentation for implementation of new systems. Ensure maintenance of the filing system of Treasury and Market Risk Policies and procedures. JOB REQUIREMENTS MIN REQUIRED EXPERIENCE: 2 year(s) MIN QUALIFICATION: Not Specified DESIRED COURSES: Not Specified OTHER REQUIREMENTS: Requirements A driven and self motivated candidate with 2-4 years of experience in finance, banking, payments, or treasury. Ability to work under pressure in a fast-paced environment. Sound knowledge of Market risk methodologies & tools Should be particularly good at handling treasury reports and all the relevant data and information Should have excellent communication skills and should be able to convey all the important data received from the front end to the back end. Basic understanding of the principles of prudent liquidity management and reporting Basic understanding of procedures for the whole product cycle from deal initiation to settlement. Basic knowledge and best practices of Treasury products, risk systems and operational processes; Experience in creating and running risk models Should be able to plan and prioritize work according to the requirement Should be an excellent team player Benefits Competitive. Monthly salary to be determined based on experience."
53,"BlueSlip invest / partner and grow international business in African market with a focus on west Africa. BlueSlip is also a management consultancy firm, helping SME expand their operations and business. We provide varied management consultancy services for organisations.We are recruiting to fill the position below:Job Position: Software ProgrammerJob Location: LagosEmployment Type: Full-timeDetailsThe job holder will be responsible for the development, design and implementation of new or modified software products or ongoing business projects.Typically sitting within the IT team of, he will be involved in liaising with the Business Analysts and Development Managers to ensure software projects meet requirements.Duties and ResponsibilitiesDevelop quality assurance proceduresDeploy software tools, processes and metricsResearch, design, implement and managing software programsTest and evaluate new programsIdentify areas for modification in existing programs and subsequently developing these modificationsWrite and implement efficient codeDetermine operational practicalityMaintain and upgrade existing systemsTraining usersWork closely with other developers, UX designers, business and systems analystsJob Qualifications And RequirementsA degree in Computer Science, Computer Software Engineering or relatedA technical background in Software Programming and DevelopmentGood Knowledge of PHP 5, MySQL, Javascript, jQuery, HTML 5, CSS 3, Bootstrap FrameworkOther Qualities:Knowledge and interest in computer systems and the latest technologiesThe ability to learn new technologies quicklyAn analytical mindThe ability to communicate complex procedures to other colleaguesCommercial and business awarenessGood communication skills – both written and verbalAttention to detail and desire to probe further into dataMethod of ApplicationInterested and qualified candidates should send their CV to: jobs@bluesliplimited.com using the Job Title as subject of the email.Note: Only shortlisted candidates would be contacted."
54,"Job DescriptionMore About the Role:Perform analysis and reporting on measures of stability to include security, governance and development, and Human Terrain analysis.Perform all-source intelligence analysis related to military actions, insurgent activities, economic and political activities, and threats to regional stability.Research, develop, present, and publish all-source intelligence products at the tactical, operational, and strategic levels.Provide input to multiple agencies of the national intelligence community requirements and objectives.Conduct comprehensive research on complex topics and or countries.Provide intelligence analysis related to counter-terrorism, HUMINT, SIGINT, CI, GEOINT, and OSINT, Iraq, Syria, ISIL, IRAN, Russia, Jordan, Southwest Asia and other countries with USCENTCOM AO in support of analytical intelligence production/targeting.Research, develop, and present post-graduate level intelligence products at the operational and strategic levels for senior leadership.Analyze cultural, religious, political, geopolitical, military/social/behavioral science, perspectives on governance and development.Assist with resolution on difficult and complex analytical problems.Assist with the all-source analysis and production of various tailored intelligence products specifically focused on Threat Awareness, FP, and I&W, C-IED, COIN, and targeting while supplying analytical support for senior military leaders' decision making.Attend informational, collaboration and intelligence meetings, VTCs and/or telecons as required.Analyze, report, manage database, and dissemination of Intelligence reports & product development, analytical briefings and annexes.Conduct comprehensive research on specific topics independently or as a part of a larger analytical effort focusing on current events and long-term trends that could impact the supported unit's mission.Participate in analytical discussions.Provide input to CGs daily Intelligence update book.Provide input to the Daily Battle Update Assessment (BUA), Theater Update Assessment (TUA) and current Intelligence Assessments.Enter finished intelligence products into intelligence reporting programs of record, to ensure data is readily available to the intelligence enterprise. Include a roll up of all uploaded products in the weekly activity report.You’ll Bring These QualificationsRequires an active TS/SCIA minimum of 8 years analytical experience at the tactical/operational level within DoD or equivalent Government agencies and requires former MOS 35F, 350F, 18F, 35D, 34A, or equivalent such as USMC – 0204, 0210, 0211 - Counterintelligence/Human Intelligence (CI/HUMINT) Specialist, 0231 Intelligence Specialist, U.S. Navy – Navy Intelligence Specialist, USAF –1N7X1 Human Intelligence Specialist, 1N4X1 Intelligence Fusion AnalystBachelor’s Degree OR eight additional years direct relevant experienceProficient in utilizing standard MS computer applications and intelligence related automation to support analytical efforts and product developmentUSCENTCOM Area of Operations and Area of Influence regional political/military science background - Special emphasis on Russia, Iran, ISIL, Syria, Iraq, JordanPossess strong research, analytical, and writing skillsBe capable of effectively operating as a member of an analytical intelligence teamStrong briefing skills to include the ability to clearly articulate information to senior members of the intelligence communityExperience in either Afghanistan, Iraq regional issues or military intelligence analysisThese Qualifications Would be Nice to Have:Master’s Degree in Middle East regional geopolitical scienceExperience in either Afghanistan, Iraq regional issues or military intelligence analysisLanguage Enabled in Arabic, or Farsi, and Russian - independently tested to ensure ability to listen, read, write and translate in accordance with either DPLT or ILR level 2/2What We Can Offer You:We’ve been named a Best Place to Work by the Washington Post.Our employees value the flexibility at CACI that allows them to balance quality work and their personal lives.We offer competitive benefits and learning and development opportunities.We are mission-oriented and ever vigilant in aligning our solutions with the nation’s highest priorities.For over 55 years, the principles of CACI’s unique, character-based culture have been the driving force behind our success.Job LocationKW-International-KUWAITCACI employs a diverse range of talent to create an environment that fuels innovation and fosters continuous improvement and success. At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is proud to provide dynamic careers for employees worldwide. CACI is an Equal Opportunity Employer - Females/Minorities/Protected Veterans/Individuals with Disabilities."
55,"Job Description To Monitor Telecommunications Services And Electronic Interaction For Any Misuse As Defined By NCC And MTN Policy. Provide Advice And Recommendations On Information Systems Strategy, Policy Management, Security And Service Delivery Develop Tests To Challenge Existing Fraud Processes And Make Recommendations For Change. Identify Unknown Fraud, Conduct Behavioural Patterning Analysis And Provide Feedback On Control Development And Improvement. Log All Fraud Queries And Resolutions Into The Fraud Management Logbook Promptly. Identify And Document Requirements, Conduct Business And Technical Studies, Design, Develop, Integrate And Implement Information Systems Business Solutions. Oversee And Coordinate All Technical Activities, And Ensure All Transaction And Administrative Documentation Is Recorded And Available For Business Use. Perform Analytical Needs For Fraud Operations. Recommend Additional Tools And Methods That Could Be Deployed In Combating Fraud. Develop, Integrate And Implement Solutions To Identify, Quantify And Report All Identified Revenue Leakages Due To Fraudulent Activities And Information System Breaches And Glitches. Following Up With Revenue Assurance And Fraud Management System Vendors To Maintain The Operation Of The RA&Fraud System Monitoring And Analyzing Alarms Generated By The Fraud Management System 24 Hours A Day And 7days A Week. Client Engagement By Reviewing URS (User Requirement Specification) With Business Owners (Customers) To Identify, Document And Assess Technical And Fraud Risks To Integrated Products Software, Hardware, Projects And Data. Collect And Present Appropriate Evidence According To Documented Incident Handling Procedures To Enable Fraud Prevention And Detection. Provide Input And Feedback Into Fraud Management Reports. Carry Out Intelligence And Trending Analysis On Key Indicators And Performance That Have Impact On Losses Through Fraud And Prepare And Present Materials On Findings. Develop Policies, Processes And Procedures To Identify, Control And Mitigate All Possible Risk And Security Breaches. Provide Advice On Information Systems Strategy, Policy, Management, Security And Service Delivery Investigate And Resolve Subscriber Fraud Incidents Promptly In Conformance To Documented Policies. Ad Hoc Task And Assist With Internal Investigations Conducted By Both Subscriber Fraud Unit Team And As Well As Forensic Unit In Business Risk Management. Engage/Participate In Development And Monitoring Of Product Life Cycle To Maximize The Efficiency, Effectiveness And Overall Quality Of Products. Contact Customers Regarding Suspicious Activity On Their Accounts. Ensure Value Creation When Engaging With Customer. Assisting With The Rollout Of The Fraud Tools. Contributing To The Review Of Fraud Risk Assessments, Scenario Analysis And New Product Or Change Initiative Assessments. Detecting Fraud, Act Upon And Initiate Preventive Measures And Verify That Fraud Claim Investigations Are Completed On Time And In Accordance With Set Policies And Procedures In Order To Protect The Integrity And To Fight Corruption. Coordinate With Stakeholders To Evaluate The Current Systems And Applied Processes In Order To Identify Any Potential Risk, To Re-Engineer Certain Controls In Order To Reduce Risk Of Unauthorized Request Patterns. Reporting And Provide Analyses To Support Decision Making And Track Market Performance. Performing Continual Review And Update On Defined Processes Of Revenue Assurance And Fraud Controls So As To Accomplish All Objectives In An Effective, Timely And Efficient Manner. Continuously Seek Self-Professional Development To Sharpen Skills And Capabilities In A Versatile And Evolving Digital Landscape. Foster Active Collaboration And Relationships With Employees Across All Levels And Divisions In Line With MTNs VB And Values. Leading Ad Hoc Project Work To Implement New Systems, Work Processes, Technologies And Drive Adoption Of New Initiatives. Providing Auditors (Internal And External) With Required Data Analysis And Complies With The Audit Report Recommendations. Job Condition Standard Working Condition Experience & Training Education: First Degree In Any Related Discipline. Fluent In English. Experience: Minimum Of 3 Years Experience In An Area Of Specialisation; With Experience Working With Others Experience Working In A Medium Organization Experience In Fraud Operational Analytical/Policy Experience Detailed Investigation Experience. Risk Evaluation And Control Implementation Work Experience. Training: Current Trends In Fraud Detection. Fraud Management. Minimum Qualification: BA, BEd, BSc Or HND"
56,"Position: Quality AssessorJob Location: Lagos, NigeriaReporting to: Customer Service Quality and Training ManagerThe Role:The Quality Assessor will work closely with the customer service executives, training team and customer service team managers to serve existing and potential customers by ensuring the customers are satisfied with the service offered with great customer experienceKey responsibilities for the role include:Analyze data to better understand potential gaps, concerns, and outcomes of decisionsCreate reports, summaries, presentations, and process documents to display resultsCollaborate with other team members to effectively analyze and present dataDevelop systems and processes for gathering and storing data for future analytic projectsIdentify process trends that are not well done by the agents and educate appropriatelyMonitor internal processes and revise/update the scorecards and scripts accordingly.Collaborate with the Process delivery analyst to identify opportunities to improve process performance and efficiencies in existing systems.Must have a tracking and monitoring dashboard on process adherence within the call centerMap the need for training and onboarding programs and provide this information to the training teamParticipate in calibration sessions to maintain consistency in internal evaluationsDiscuss and explain feedback with agents in regular meetingsThe ideal candidate:Bachelor's degree in statistics, economics, finance, or another business-related degreeMinimum of 1-2 years’ experience is a similar roleAbility to speak and understand Yoruba AND Hausa is a compulsory requirement.Excellent verbal, written, and interpersonal communication skills.Demonstrated ability to prioritize tasks and meet daily deadlines for projectsCritical thinking skills with the ability to independently solve problems with dataQuantitative and analytical skills with a demonstrated ability to understand new analytical conceptsExcellent attention to detailProblem-solving and project management skillsThe ability to present complex concepts to a wide audienceMust be self-motivator and self-starterSolid time management skillsMust be able to effectively deal with people at all levels inside and outside of the CompanyCreative ability & writing proficiencyAbility to multitask and successfully operate in a fast-paced, team environment.We are looking for someone who is driven, passionate and excited about the opportunity to bring honest, affordable, energy to homes in Africa and Asia. If this sounds like you, we would love to hear from you.Greenlight Planet offers competitive compensation, a fun, supportive work environment, and opportunities for continued professional growth within a fast-growing global enterprise.Greenlight Planet believes in equal opportunity for all people: We do not discriminate based on race, color, religion, sex, marital status, sexual orientation, national origin, HIV/AIDS status, or disability."
57,"There are several teams in this area of DLM, each specialising in different aspects of deal-making. The Corporate Finance Advisory team consists of the Debt Capital Market unit as well as the Equity Capital Market unit. The Transaction Legal Team is also actively involved in the execution of corporate finance transactions.What we doDLM’s Advisory Partners work with companies on a wide range of deals: financial advisory services, mergers & acquisitions, debt & equity capital raising through the capital market, private equity placements, etc. Our advisory group guide clients on the what, when, why and how of doing deals and ensure that every transaction is completed swiftly, efficiently and at the best possible terms for the client whilst considering investor required returns.What we’re looking forEveryone on the team should be supportive and approachable, and be able to work under a lot of pressure. The prospect of working in a fast-paced environment should excite you rather than scare you. You’ll be expected to show personal initiative and a high level of commitment.You will gain exposure to senior clients and major deals from very early in your career; hence you will be expected to play a key role on the team even as an analyst. Our client solutions and advice are drawn from the data we analyse and our success relies entirely on the integrity of the underlying analysis. That’s why we ask much more of you than simply running numbers; we expect you to analyse the numbers, understand the story they tell, identify trends and patterns, and speak up if you have new ideas or a different perspective. You need to be able to deconstruct and reconstruct the numbers and understand how they all fit together. In addition to the above, you will be expected to:Perform valuation analyses using various methodologies including discounted cash flow, net asset valuation and trading multiples.Participate in the origination and execution of equity and debt transactions.Build detailed financial models to evaluate performance under various operating scenarios and to analyse the impacts of different capital structures and transactions.Prepare presentation materials in particular, pitches for internal and external use.Participate in all stages of transaction executions, from the pitch phase through to closing.Coordinate efforts with deal team members across the firm.What we can offer youYou’ll start your time here with first-class graduate/ Internship training that should equip you with the knowledge you’ll need to start contributing as soon as you hit your desk.From then on, your career development will be ongoing. You’ll develop your deal-making skills through formal mentoring and by working day to day alongside some of the best corporate finance professionals. The more you excel, the more you can expect responsibility and exposure to high-profile deals.The graduate will get to learn about all aspects of the world of corporate finance. This broad experience will give you transferable skills that can enhance your career, whether you choose to stay in investment banking or go into another field."
58,"At TeamAce, we help businesses across different industries thrive. We work with businesses to create their desired change by getting the right people, designing bespoke business processes, leveraging data, applying insights and technology. We combine our expertise and take different bespoke approaches to solve different business challenges because we believe there is no one size fits all approach. This way, you keep your eyes on the prize and thrive.We are recruiting to fill the position below:Job Position: Telesales AnalystJob Location: LagosEmployment Type: Full-timeRequirementsCandidates should possess a Bachelor's degree with a minimum of 2 years work experience.A vibrant, exuberant and confident candidateRequisite industry experience and can convert leadsAble to defend conversion rateMake flawless pitch to a client with proper mastery of communicationMust be social media inclined to also create visibility and online BuzzVery Ambitious, goal-getter and ready to work with the rest of the teamSalary ExpectationsN50,000 - N80,000 monthly."
